agent,seed,episode,reward,ttr,max_compromised,ended_clean,wasted,restored,investigated,investigate_ratio
rppo,0,1,3880.067694783951,14,4,0,6,31,173,0.14416666666666667
rppo,0,2,3639.204734527234,23,4,1,5,35,171,0.1425
rppo,0,3,4037.121384489273,3,4,0,6,27,198,0.165
rppo,0,4,2722.3906909004695,3,4,0,7,43,176,0.14666666666666667
rppo,0,5,3850.778249113237,3,3,1,8,32,164,0.13666666666666666
rppo,0,6,2267.1114201901514,28,4,1,10,44,161,0.13416666666666666
rppo,0,7,3394.3909561077267,5,3,0,10,34,176,0.14666666666666667
rppo,0,8,3949.4903877884,4,3,1,7,21,211,0.17583333333333334
rppo,0,9,2637.5828555242997,5,4,1,8,45,180,0.15
rppo,0,10,3303.6871678102716,39,3,1,6,38,182,0.15166666666666667
rppo,0,11,4070.7827639570605,3,3,1,4,26,191,0.15916666666666668
rppo,0,12,4072.3673138304875,5,3,0,7,26,204,0.17
rppo,0,13,3530.1232748473985,5,3,0,5,41,158,0.13166666666666665
rppo,0,14,3053.428422079714,9,4,1,9,30,194,0.16166666666666665
rppo,0,15,4424.506041299026,4,3,1,6,24,198,0.165
rppo,0,16,3632.486568844106,4,3,1,5,36,169,0.14083333333333334
rppo,0,17,2379.0552623524336,4,4,1,5,46,152,0.12666666666666668
rppo,0,18,4219.627877478533,9,2,1,8,23,196,0.16333333333333333
rppo,0,19,3208.519424495108,27,3,0,9,27,196,0.16333333333333333
rppo,0,20,3140.6180751595984,11,3,0,9,35,175,0.14583333333333334
rppo,0,21,2741.8511136034467,9,4,1,7,46,166,0.13833333333333334
rppo,0,22,2754.604168357982,5,4,0,7,44,170,0.14166666666666666
rppo,0,23,3070.1343289044867,6,3,1,9,28,181,0.15083333333333335
rppo,0,24,3453.6525580822663,16,3,0,16,19,193,0.16083333333333333
rppo,0,25,-886.0225784007772,6,5,1,3,26,177,0.1475
rppo,0,26,3897.5462179101487,18,3,0,5,29,189,0.1575
rppo,0,27,3924.968164785641,3,3,0,8,26,182,0.15166666666666667
rppo,0,28,3958.268452578608,12,2,1,4,30,209,0.17416666666666666
rppo,0,29,3544.6850421362396,13,5,1,10,32,189,0.1575
rppo,0,30,3432.914903380367,11,3,1,4,35,186,0.155
rppo,0,31,4490.174847199283,5,2,1,5,20,209,0.17416666666666666
rppo,0,32,4167.92962883087,12,3,1,5,31,212,0.17666666666666667
rppo,0,33,1955.9338382390083,7,5,0,6,46,141,0.1175
rppo,0,34,3814.064413951286,3,3,0,1,36,186,0.155
rppo,0,35,3938.7764050744,8,3,1,7,27,206,0.17166666666666666
rppo,0,36,4493.290542988956,4,3,1,2,28,217,0.18083333333333335
rppo,0,37,2971.1125434211535,3,4,1,6,34,171,0.1425
rppo,0,38,3480.760646188279,5,5,1,7,38,171,0.1425
rppo,0,39,3901.7170397154673,16,3,1,8,29,189,0.1575
rppo,0,40,3114.8154374972137,5,3,1,7,31,163,0.13583333333333333
rppo,0,41,3237.826421515677,3,3,0,4,28,171,0.1425
rppo,0,42,3231.7948345222826,5,4,1,10,33,162,0.135
rppo,0,43,3223.495479226222,19,4,1,3,39,151,0.12583333333333332
rppo,0,44,4042.1774694481555,6,3,1,8,27,212,0.17666666666666667
rppo,0,45,4379.562018663236,3,3,1,3,27,199,0.16583333333333333
rppo,0,46,3198.671322389142,8,4,0,3,46,170,0.14166666666666666
rppo,0,47,3410.1940518778642,6,4,1,7,33,180,0.15
rppo,0,48,4134.4431777806685,3,3,1,4,25,170,0.14166666666666666
rppo,0,49,4399.088710722932,5,3,1,7,22,219,0.1825
rppo,0,50,2421.404597369807,4,4,1,7,44,172,0.14333333333333334
rppo,1,1,3090.5919391092693,4,2,1,8,32,569,0.4741666666666667
rppo,1,2,3263.3779449864855,5,3,1,9,27,576,0.48
rppo,1,3,4065.5035265750976,11,2,1,5,25,596,0.49666666666666665
rppo,1,4,3958.026912675706,5,2,1,8,26,588,0.49
rppo,1,5,3729.508465532537,17,3,1,8,24,586,0.48833333333333334
rppo,1,6,4040.5064883805107,5,3,1,7,25,599,0.49916666666666665
rppo,1,7,4008.814803944726,14,2,1,9,19,597,0.4975
rppo,1,8,3706.54311512777,3,3,1,5,28,586,0.48833333333333334
rppo,1,9,3003.594512628101,6,3,0,11,34,550,0.4583333333333333
rppo,1,10,3598.1459528512537,5,2,1,7,30,584,0.4866666666666667
rppo,1,11,3637.3243627981824,4,3,0,8,29,597,0.4975
rppo,1,12,4072.3579890872493,5,2,1,9,15,596,0.49666666666666665
rppo,1,13,2685.3496884124747,4,3,0,13,37,545,0.45416666666666666
rppo,1,14,3869.2493017574025,4,3,1,4,26,593,0.49416666666666664
rppo,1,15,3308.704466996186,4,3,1,13,29,573,0.4775
rppo,1,16,3078.240643314029,5,3,0,11,29,557,0.46416666666666667
rppo,1,17,3865.0609508926636,4,2,1,7,20,594,0.495
rppo,1,18,4456.163315145423,6,2,1,2,20,605,0.5041666666666667
rppo,1,19,4052.1004595957065,4,3,1,9,16,601,0.5008333333333334
rppo,1,20,3623.3669022041167,16,3,0,13,24,570,0.475
rppo,1,21,3607.012572670535,6,3,1,10,27,583,0.48583333333333334
rppo,1,22,2939.595647135132,15,2,0,10,32,571,0.47583333333333333
rppo,1,23,3346.8361313884448,11,3,0,9,29,586,0.48833333333333334
rppo,1,24,3908.0333235828825,5,3,1,5,25,591,0.4925
rppo,1,25,3837.5294353687045,18,4,1,3,31,576,0.48
rppo,1,26,3357.9490361806675,11,3,1,9,29,582,0.485
rppo,1,27,3701.0775779346886,6,3,1,4,27,594,0.495
rppo,1,28,4451.987266015725,5,2,0,2,22,622,0.5183333333333333
rppo,1,29,4114.363315145423,3,2,1,5,24,582,0.485
rppo,1,30,3758.810627909252,6,3,1,5,34,585,0.4875
rppo,1,31,2618.127548319191,31,3,1,9,34,564,0.47
rppo,1,32,3311.809773203786,5,4,1,9,27,574,0.47833333333333333
rppo,1,33,3298.8689544580798,25,2,1,8,34,587,0.4891666666666667
rppo,1,34,3317.0599453093632,4,3,1,12,29,578,0.4816666666666667
rppo,1,35,3829.4085702484253,4,3,1,13,24,589,0.49083333333333334
rppo,1,36,4210.0872660157265,5,2,0,6,19,606,0.505
rppo,1,37,3910.2013399912953,10,3,1,7,24,597,0.4975
rppo,1,38,3865.5643931312293,8,2,1,10,19,577,0.48083333333333333
rppo,1,39,3566.3938472705786,16,2,1,8,30,586,0.48833333333333334
rppo,1,40,3791.727150828252,5,2,1,7,27,592,0.49333333333333335
rppo,1,41,3559.9814923780436,12,4,0,12,26,581,0.4841666666666667
rppo,1,42,3563.352179226275,7,2,0,10,27,584,0.4866666666666667
rppo,1,43,4014.2318294065044,7,2,0,4,24,591,0.4925
rppo,1,44,3496.52663029086,7,3,1,15,19,580,0.48333333333333334
rppo,1,45,4268.371663492596,13,2,1,4,25,597,0.4975
rppo,1,46,3796.5066660494704,9,3,1,6,23,601,0.5008333333333334
rppo,1,47,1049.095722915022,5,3,1,11,31,559,0.4658333333333333
rppo,1,48,3100.7570503681163,5,3,0,11,26,578,0.4816666666666667
rppo,1,49,3618.546373193036,5,3,0,9,28,583,0.48583333333333334
rppo,1,50,3896.887726069538,6,2,1,10,22,600,0.5
rppo,2,1,3948.690227821156,5,2,1,8,33,442,0.36833333333333335
rppo,2,2,3091.7988209544233,4,4,1,8,33,433,0.36083333333333334
rppo,2,3,4478.686983630895,8,2,0,5,20,456,0.38
rppo,2,4,3414.8108960125205,5,3,1,4,34,444,0.37
rppo,2,5,3439.249153402951,5,3,1,9,32,441,0.3675
rppo,2,6,2959.904476598474,4,3,1,5,38,444,0.37
rppo,2,7,4217.105124640217,10,3,0,2,29,459,0.3825
rppo,2,8,3177.056657487975,5,4,1,10,41,421,0.35083333333333333
rppo,2,9,2283.5936500716803,12,3,0,12,35,444,0.37
rppo,2,10,4239.454228703458,9,2,0,4,23,451,0.37583333333333335
rppo,2,11,3322.924949070725,15,4,1,11,31,446,0.37166666666666665
rppo,2,12,4008.3859954510094,3,3,0,4,30,459,0.3825
rppo,2,13,4059.696296982616,4,3,0,2,25,466,0.3883333333333333
rppo,2,14,1082.4737551597623,3,5,0,12,46,424,0.35333333333333333
rppo,2,15,4360.419565233217,3,2,1,3,25,463,0.3858333333333333
rppo,2,16,4460.535398587612,5,2,1,3,25,450,0.375
rppo,2,17,4375.5925920739155,10,2,1,5,21,468,0.39
rppo,2,18,4563.739929044831,5,2,1,4,21,453,0.3775
rppo,2,19,4275.140211429675,10,2,1,6,26,461,0.38416666666666666
rppo,2,20,4544.410934501202,4,2,1,4,18,449,0.37416666666666665
rppo,2,21,2847.7457818075236,5,3,1,12,42,429,0.3575
rppo,2,22,4220.560357225782,5,2,1,4,30,447,0.3725
rppo,2,23,4484.755826768566,5,3,0,2,27,464,0.38666666666666666
rppo,2,24,2911.3508308012165,5,3,1,7,29,433,0.36083333333333334
rppo,2,25,1679.9984263531699,17,4,0,14,40,426,0.355
rppo,2,26,4181.611730102153,3,2,1,7,27,452,0.37666666666666665
rppo,2,27,3871.4090298441565,10,3,1,6,27,443,0.36916666666666664
rppo,2,28,4500.626973159309,3,2,1,5,20,454,0.37833333333333335
rppo,2,29,4425.437510326913,5,3,1,0,27,456,0.38
rppo,2,30,3830.6075567985326,3,2,1,4,20,471,0.3925
rppo,2,31,3051.6568529918445,3,3,0,13,33,453,0.3775
rppo,2,32,4426.689758010195,5,2,0,2,25,462,0.385
rppo,2,33,4102.920827751174,4,3,1,4,31,451,0.37583333333333335
rppo,2,34,4621.135680972457,5,2,1,2,19,461,0.38416666666666666
rppo,2,35,4003.3268684434183,5,2,1,5,22,439,0.36583333333333334
rppo,2,36,4418.392309689066,4,2,1,6,22,456,0.38
rppo,2,37,3811.970752942919,4,3,1,8,25,450,0.375
rppo,2,38,4411.963315145437,8,2,1,5,24,453,0.3775
rppo,2,39,4122.924548422955,5,2,1,8,27,451,0.37583333333333335
rppo,2,40,4201.360014815437,5,3,1,4,25,456,0.38
rppo,2,41,4221.165195595392,5,2,1,5,29,465,0.3875
rppo,2,42,1605.7048556609436,5,3,0,7,35,444,0.37
rppo,2,43,4107.428333529959,5,2,1,2,33,435,0.3625
rppo,2,44,4719.505608443026,3,2,1,2,11,458,0.38166666666666665
rppo,2,45,3710.6373711982205,20,3,1,7,25,440,0.36666666666666664
rppo,2,46,3869.564382915999,7,3,1,5,33,436,0.36333333333333334
rppo,2,47,4084.5286685332685,4,3,1,2,32,454,0.37833333333333335
rppo,2,48,4214.954097503434,6,2,1,6,28,478,0.3983333333333333
rppo,2,49,1634.4383737985934,3,3,1,8,33,459,0.3825
rppo,2,50,2903.2379725098695,5,3,0,11,44,417,0.3475
rppo,3,1,4610.07453203148,3,2,0,4,21,333,0.2775
rppo,3,2,4217.073180302574,5,4,0,2,28,322,0.2683333333333333
rppo,3,3,4323.065042237478,4,3,1,1,32,331,0.2758333333333333
rppo,3,4,4026.828407651258,4,3,1,0,32,313,0.2608333333333333
rppo,3,5,3476.8724763478367,8,5,1,3,39,304,0.25333333333333335
rppo,3,6,4512.7090298441535,4,2,1,1,20,322,0.2683333333333333
rppo,3,7,3829.9320793227807,3,3,0,4,35,302,0.25166666666666665
rppo,3,8,4318.030676945282,5,3,1,2,29,331,0.2758333333333333
rppo,3,9,4174.485486188824,3,4,1,1,26,328,0.2733333333333333
rppo,3,10,4526.208287863588,20,2,1,3,16,348,0.29
rppo,3,11,3963.9798537856454,3,4,1,1,27,331,0.2758333333333333
rppo,3,12,4130.427808864501,4,4,1,2,32,324,0.27
rppo,3,13,4456.806488380521,11,2,1,2,21,341,0.2841666666666667
rppo,3,14,4395.520024828937,5,3,1,3,19,332,0.27666666666666667
rppo,3,15,3192.719623119621,4,3,0,3,29,311,0.25916666666666666
rppo,3,16,4393.023152291912,5,3,1,2,30,338,0.2816666666666667
rppo,3,17,4463.403244190261,5,2,1,4,20,341,0.2841666666666667
rppo,3,18,4786.134320601807,5,2,1,2,13,332,0.27666666666666667
rppo,3,19,4509.366276950849,4,2,1,4,16,332,0.27666666666666667
rppo,3,20,3772.5298467697758,3,3,1,2,34,314,0.26166666666666666
rppo,3,21,4793.3162605593725,8,2,1,1,21,355,0.29583333333333334
rppo,3,22,3622.990645272593,11,3,1,4,30,305,0.25416666666666665
rppo,3,23,4299.016343593064,5,3,1,3,30,326,0.27166666666666667
rppo,3,24,4375.372228262306,14,2,1,4,26,302,0.25166666666666665
rppo,3,25,4131.672687858024,6,3,0,6,23,317,0.26416666666666666
rppo,3,26,4317.520400938412,4,3,1,1,26,328,0.2733333333333333
rppo,3,27,4402.811874922282,4,2,1,3,28,320,0.26666666666666666
rppo,3,28,3780.853871016016,3,3,1,8,28,323,0.26916666666666667
rppo,3,29,4402.02663029087,5,2,1,5,18,313,0.2608333333333333
rppo,3,30,4762.563879915129,9,2,1,2,15,323,0.26916666666666667
rppo,3,31,4598.579918573237,20,2,0,3,17,344,0.2866666666666667
rppo,3,32,4227.190385159499,5,3,0,3,23,317,0.26416666666666666
rppo,3,33,3677.669077288266,16,3,1,2,32,312,0.26
rppo,3,34,4165.886754512305,6,3,0,2,35,319,0.2658333333333333
rppo,3,35,4651.763597530286,3,2,1,3,21,326,0.27166666666666667
rppo,3,36,3626.042404069993,5,3,0,4,42,291,0.2425
rppo,3,37,4501.832521118739,4,2,1,2,25,316,0.2633333333333333
rppo,3,38,4112.406759316021,4,2,0,0,33,332,0.27666666666666667
rppo,3,39,3999.089873045282,4,3,0,1,36,315,0.2625
rppo,3,40,3856.4228809250853,8,3,1,4,34,300,0.25
rppo,3,41,4356.011249668997,3,3,1,3,26,338,0.2816666666666667
rppo,3,42,4573.6559072193495,9,2,1,4,18,334,0.2783333333333333
rppo,3,43,3408.8925453491397,3,4,1,5,33,323,0.26916666666666667
rppo,3,44,4360.48598661198,8,3,1,1,25,337,0.2808333333333333
rppo,3,45,3289.055881674568,5,4,0,5,35,298,0.24833333333333332
rppo,3,46,2489.5462270511694,4,4,1,2,42,287,0.23916666666666667
rppo,3,47,2850.119901357639,8,4,1,5,36,294,0.245
rppo,3,48,4337.550298776327,11,2,1,7,15,334,0.2783333333333333
rppo,3,49,4307.396013933134,7,3,1,3,23,307,0.25583333333333336
rppo,3,50,4511.044972718153,6,2,0,4,21,332,0.27666666666666667
rppo,4,1,3363.3083245322923,5,4,1,15,31,427,0.35583333333333333
rppo,4,2,4170.133034334841,3,2,1,11,21,590,0.49166666666666664
rppo,4,3,4089.0362249047134,3,2,1,7,25,493,0.41083333333333333
rppo,4,4,3069.2520586513224,14,2,1,18,38,409,0.3408333333333333
rppo,4,5,3433.3145543428395,4,2,1,20,23,440,0.36666666666666664
rppo,4,6,3738.7911077586423,11,3,1,13,25,516,0.43
rppo,4,7,3608.5089458998195,4,2,0,14,27,474,0.395
rppo,4,8,3149.5627384682984,9,3,1,22,30,430,0.35833333333333334
rppo,4,9,4305.122389081693,9,3,0,10,24,497,0.4141666666666667
rppo,4,10,4140.861233277515,4,2,1,14,14,586,0.48833333333333334
rppo,4,11,2544.0984352398154,5,4,0,17,41,431,0.3591666666666667
rppo,4,12,4417.674532031471,5,2,0,8,13,609,0.5075
rppo,4,13,4116.779858089649,4,2,1,15,20,446,0.37166666666666665
rppo,4,14,3895.8252904035176,4,2,1,11,22,510,0.425
rppo,4,15,3981.574345336497,5,2,1,10,25,518,0.43166666666666664
rppo,4,16,3363.410429860951,14,3,0,17,30,516,0.43
rppo,4,17,3588.785241653967,18,3,1,14,32,500,0.4166666666666667
rppo,4,18,2757.9008838232526,10,3,1,24,35,424,0.35333333333333333
rppo,4,19,3937.4091955017107,22,2,1,16,26,430,0.35833333333333334
rppo,4,20,3743.1895459700345,5,3,0,11,29,485,0.4041666666666667
rppo,4,21,4115.789945436298,4,2,1,13,20,520,0.43333333333333335
rppo,4,22,4532.095614362907,5,3,1,6,14,582,0.485
rppo,4,23,3606.113875287519,5,2,1,15,24,533,0.44416666666666665
rppo,4,24,3681.9324491857997,5,2,1,12,30,479,0.39916666666666667
rppo,4,25,4276.0462279148205,8,2,0,7,26,499,0.41583333333333333
rppo,4,26,3080.4356713907887,15,3,0,18,30,494,0.4116666666666667
rppo,4,27,3854.63591905912,3,2,0,11,32,467,0.38916666666666666
rppo,4,28,3680.855318242559,4,2,1,9,30,444,0.37
rppo,4,29,3513.4778090046884,15,2,1,13,32,500,0.4166666666666667
rppo,4,30,3800.6872422008582,3,3,1,10,37,438,0.365
rppo,4,31,3157.4239322036265,5,3,1,14,36,472,0.3933333333333333
rppo,4,32,3149.670441231571,6,3,0,14,42,473,0.39416666666666667
rppo,4,33,3808.5931453942553,3,2,1,16,28,464,0.38666666666666666
rppo,4,34,4332.64295133382,3,2,1,10,20,552,0.46
rppo,4,35,3052.374403042623,5,3,1,17,33,481,0.4008333333333333
rppo,4,36,4095.004124127757,3,2,1,11,28,455,0.37916666666666665
rppo,4,37,3692.473285410669,10,3,1,11,32,427,0.35583333333333333
rppo,4,38,3714.4062545718148,5,3,0,12,24,536,0.44666666666666666
rppo,4,39,2777.2847846815594,11,3,1,27,27,459,0.3825
rppo,4,40,3780.969238756255,10,2,1,15,26,489,0.4075
rppo,4,41,3869.2665593356905,3,2,0,13,25,546,0.455
rppo,4,42,3784.5331791549693,4,2,1,13,24,446,0.37166666666666665
rppo,4,43,3548.2065211634713,3,2,0,15,25,475,0.3958333333333333
rppo,4,44,3197.624674080235,16,3,1,18,33,468,0.39
rppo,4,45,3300.2295286352523,3,3,1,14,39,445,0.37083333333333335
rppo,4,46,3555.483622359211,9,3,1,18,23,485,0.4041666666666667
rppo,4,47,3152.7711495301523,3,2,1,19,36,408,0.34
rppo,4,48,3600.8942744755577,12,3,1,14,31,507,0.4225
rppo,4,49,3578.93600390248,5,3,1,14,33,462,0.385
rppo,4,50,3441.5877831176003,10,2,1,19,31,456,0.38
mlpppo,0,1,4238.38813619608,7,2,1,1,28,676,0.5633333333333334
mlpppo,0,2,4547.217826233736,11,2,1,0,31,684,0.57
mlpppo,0,3,4678.719908101646,3,2,1,0,26,713,0.5941666666666666
mlpppo,0,4,4879.910934501188,5,2,1,0,19,716,0.5966666666666667
mlpppo,0,5,-716.0066132662536,9,5,1,0,43,630,0.525
mlpppo,0,6,3097.642515838282,6,4,0,0,40,659,0.5491666666666667
