agent,episode,total_reward,steps,time_to_recovery,max_compromised,ended_clean,total_wasted,total_restored
PPO,1,-33.0,200,1,4,0,3,52
PPO,2,5082.0,200,1,2,1,0,21
PPO,3,-4184.0,200,1,5,0,24,63
PPO,4,4858.0,200,3,2,1,0,31
PPO,5,-1067.0,200,1,5,0,11,54
PPO,6,4534.0,200,1,2,1,0,32
PPO,7,4774.0,200,1,3,1,0,27
PPO,8,-3608.0,200,1,5,0,12,74
PPO,9,213.0,200,1,4,0,3,52
PPO,10,-4096.0,200,1,5,0,10,66
PPO,11,5148.0,200,1,2,1,0,12
PPO,12,-2007.0,200,1,5,0,13,65
PPO,13,121.0,200,1,5,0,6,47
PPO,14,1934.0,200,1,5,0,2,39
PPO,15,5036.0,200,3,2,1,0,22
PPO,16,287.0,200,1,5,0,8,49
PPO,17,943.0,200,1,5,0,1,53
PPO,18,-1787.0,200,1,5,0,14,52
PPO,19,878.0,200,1,5,0,6,43
PPO,20,4778.0,200,1,3,0,0,28
PPO,21,4764.0,200,1,2,1,0,32
PPO,22,4858.0,200,1,3,1,0,19
PPO,23,-4512.0,200,1,5,0,13,71
PPO,24,4909.0,200,1,2,0,0,26
PPO,25,4797.0,200,1,3,1,0,31
PPO,26,-2293.0,200,1,5,0,9,50
PPO,27,464.0,200,1,5,0,9,40
PPO,28,4937.0,200,1,2,1,0,24
PPO,29,-3730.0,200,1,5,0,21,58
PPO,30,1480.0,200,1,5,0,7,37
PPO,31,3125.0,200,1,4,0,0,23
PPO,32,4883.0,200,1,2,1,0,26
PPO,33,-2199.0,200,1,5,0,10,57
PPO,34,-4099.0,200,1,5,0,9,67
PPO,35,4937.0,200,1,2,1,0,23
PPO,36,-1297.0,200,1,4,0,1,70
PPO,37,-1389.0,200,1,5,0,15,60
PPO,38,4870.0,200,1,2,1,0,35
PPO,39,7.0,200,1,5,0,6,51
PPO,40,5076.0,200,1,2,1,0,23
PPO,41,4719.0,200,1,2,1,0,30
PPO,42,4976.0,200,1,2,1,0,29
PPO,43,4990.0,200,1,2,1,0,22
PPO,44,5036.0,200,1,2,1,0,31
PPO,45,4991.0,200,1,2,1,0,21
PPO,46,5135.0,200,1,2,1,0,17
PPO,47,2185.0,200,1,4,0,1,50
PPO,48,-3685.0,200,1,5,0,13,66
PPO,49,-4271.0,200,1,5,0,11,65
PPO,50,4871.0,200,1,2,1,0,27
StaticPlaybook,1,-501.0,200,1,2,0,104,34
StaticPlaybook,2,-1220.0,200,3,2,1,122,22
StaticPlaybook,3,-220.0,200,1,2,1,104,25
StaticPlaybook,4,-852.0,200,1,2,1,112,35
StaticPlaybook,5,-255.0,200,1,2,0,103,21
StaticPlaybook,6,-1048.0,200,1,2,1,119,25
StaticPlaybook,7,-917.0,200,1,2,1,112,33
StaticPlaybook,8,-913.0,200,1,2,1,114,31
StaticPlaybook,9,-473.0,200,1,2,0,106,28
StaticPlaybook,10,-906.0,200,1,2,1,119,18
StaticPlaybook,11,-758.0,200,1,2,1,110,32
StaticPlaybook,12,-651.0,200,3,2,1,109,27
StaticPlaybook,13,-948.0,200,1,2,1,120,20
StaticPlaybook,14,-347.0,200,1,2,0,108,20
StaticPlaybook,15,-705.0,200,1,2,1,114,19
StaticPlaybook,16,-94.0,200,1,2,1,100,29
StaticPlaybook,17,-118.0,200,1,2,1,104,32
StaticPlaybook,18,-28.0,200,1,2,1,99,28
StaticPlaybook,19,-639.0,200,1,2,1,107,32
StaticPlaybook,20,-764.0,200,1,2,1,114,21
StaticPlaybook,21,-141.0,200,1,2,1,87,54
StaticPlaybook,22,-805.0,200,3,2,1,114,27
StaticPlaybook,23,-808.0,200,1,2,1,114,21
StaticPlaybook,24,-494.0,200,1,2,1,110,23
StaticPlaybook,25,-826.0,200,1,2,1,112,30
StaticPlaybook,26,321.0,200,1,2,1,91,36
StaticPlaybook,27,-257.0,200,1,2,1,104,26
StaticPlaybook,28,-472.0,200,1,2,0,109,20
StaticPlaybook,29,-1108.0,200,1,2,1,123,21
StaticPlaybook,30,-603.0,200,1,2,1,110,26
StaticPlaybook,31,-275.0,200,1,2,0,94,41
StaticPlaybook,32,-473.0,200,1,2,1,103,30
StaticPlaybook,33,-1171.0,200,1,2,0,122,20
StaticPlaybook,34,-634.0,200,1,2,1,112,23
StaticPlaybook,35,-287.0,200,1,2,1,108,16
StaticPlaybook,36,-540.0,200,1,2,1,110,23
StaticPlaybook,37,-666.0,200,1,2,0,114,14
StaticPlaybook,38,-853.0,200,1,2,1,113,27
StaticPlaybook,39,-230.0,200,1,2,1,102,31
StaticPlaybook,40,-79.0,200,1,2,1,101,23
StaticPlaybook,41,-559.0,200,1,2,1,107,31
StaticPlaybook,42,-601.0,200,1,2,1,113,17
StaticPlaybook,43,-969.0,200,1,2,1,116,23
StaticPlaybook,44,-655.0,200,1,2,0,111,30
StaticPlaybook,45,-554.0,200,1,2,1,114,15
StaticPlaybook,46,-1003.0,200,1,2,1,122,18
StaticPlaybook,47,-298.0,200,5,2,1,103,27
StaticPlaybook,48,-509.0,200,5,2,1,103,36
StaticPlaybook,49,-359.0,200,1,2,1,106,24
StaticPlaybook,50,47.0,200,1,2,1,95,26
