agent,episode,total_reward,steps,time_to_recovery,max_compromised,ended_clean,total_wasted,total_restored,total_invested
RecurrentPPO,1,3758.67,200,5,2,1,2,26,389
RecurrentPPO,2,4139.16,200,4,2,1,5,18,395
RecurrentPPO,3,2830.5,200,5,3,0,11,35,362
RecurrentPPO,4,4155.95,200,5,2,1,1,22,377
RecurrentPPO,5,4144.54,200,5,2,1,2,22,399
RecurrentPPO,6,3168.57,200,5,3,1,5,30,366
RecurrentPPO,7,4350.54,200,6,3,0,3,17,399
RecurrentPPO,8,3328.16,200,17,3,0,6,31,370
RecurrentPPO,9,3672.44,200,10,3,1,1,30,379
RecurrentPPO,10,3561.12,200,26,3,0,7,33,384
StaticPlaybook,1,4118.15,200,20,2,1,0,38,175
StaticPlaybook,2,4612.09,200,5,2,0,0,28,161
StaticPlaybook,3,4864.08,200,6,3,1,0,19,151
StaticPlaybook,4,4592.55,200,4,2,1,0,29,156
StaticPlaybook,5,4489.9,200,6,2,1,0,30,176
StaticPlaybook,6,4753.22,200,6,2,0,0,22,170
StaticPlaybook,7,4376.25,200,6,2,0,0,36,182
StaticPlaybook,8,4446.65,200,5,3,1,0,30,153
StaticPlaybook,9,4209.5,200,12,2,1,0,37,184
StaticPlaybook,10,4713.65,200,5,2,0,0,28,159
